depot;vehicle_id;vehicle_short_name;opd_date
HN;1000877;35001;15/01/2017
HN;1000879;35003;15/01/2017
HN;1000881;35005;15/01/2017
PO;1000882;33375;15/01/2017
HN;1000884;33377;15/01/2017
HN;1000885;35009;15/01/2017
HN;1000886;33379;15/01/2017
RD;1000888;33383;15/01/2017
RD;1000889;33385;15/01/2017
D1;1000891;33389;15/01/2017
D1;1000892;33391;15/01/2017
D1;1000893;33393;15/01/2017
SL;1000895;33397;15/01/2017
CD;1000896;33399;15/01/2017
CD;1000897;33401;15/01/2017
CD;1000899;33405;15/01/2017
PO;1000900;33584;15/01/2017
D2;1000901;36030;15/01/2017
PO;1000903;33586;15/01/2017
D2;1000904;36032;15/01/2017
PO;1000906;33588;15/01/2017
D2;1000907;36034;15/01/2017
PO;1000909;33590;15/01/2017
PO;1000910;36036;15/01/2017
PO;1000912;33592;15/01/2017
PO;1000913;36038;15/01/2017
PO;1000915;33594;15/01/2017
PO;1000916;36040;15/01/2017
PO;1000918;33596;15/01/2017
PO;1000919;36042;15/01/2017
PO;1000921;33598;15/01/2017
PO;1000922;36044;15/01/2017
PO;1000924;33600;15/01/2017
PO;1000925;36046;15/01/2017
HN;1000199;33500;15/01/2017
PO;1001059;33116;15/01/2017
D1;1001061;33118;15/01/2017
PO;1000703;33117;15/01/2017
D2;1930279;43004;15/01/2017
D2;1930281;43003;15/01/2017
D2;1930282;43005;15/01/2017
D2;1930278;43002;15/01/2017
D2;1930280;43001;15/01/2017
D2;1932298;43008;15/01/2017
D2;1932299;43010;15/01/2017
D2;1932300;43012;15/01/2017
D2;1932301;43014;15/01/2017
D2;1932302;43016;15/01/2017
D2;1932303;43018;15/01/2017
CD;1932305;43022;15/01/2017
CD;1932307;43026;15/01/2017
CD;1932308;43028;15/01/2017
CD;1932309;43030;15/01/2017
HN;1932310;43032;15/01/2017
HN;1932312;43036;15/01/2017
HN;1932314;43040;15/01/2017
HN;1932315;43042;15/01/2017
HN;1932316;43044;15/01/2017
HN;1932317;43046;15/01/2017
HN;1932318;43048;15/01/2017
SL;1932319;43050;15/01/2017
SL;1932321;43054;15/01/2017
SL;1932323;43058;15/01/2017
CF;1932324;43060;15/01/2017
CF;1932325;43062;15/01/2017
CF;1932326;43064;15/01/2017
CF;1932328;43068;15/01/2017
RD;1932330;43072;15/01/2017
CD;1000927;33602;15/01/2017
PO;1000928;36048;15/01/2017
CD;1000930;33604;15/01/2017
PO;1000931;36050;15/01/2017
CD;1000933;33606;15/01/2017
PO;1000934;36052;15/01/2017
CD;1000935;33608;15/01/2017
PO;1000936;36054;15/01/2017
CD;1000937;33610;15/01/2017
PO;1000938;36056;15/01/2017
D1;1000939;33612;15/01/2017
PO;1000940;36058;15/01/2017
D1;1000941;33614;15/01/2017
PO;1000942;36060;15/01/2017
D1;1000943;33616;15/01/2017
PO;1000944;36062;15/01/2017
D1;1000945;33618;15/01/2017
PO;1000946;36064;15/01/2017
HN;1000947;33620;15/01/2017
PO;1000948;36066;15/01/2017
HN;1000949;33622;15/01/2017
PO;1000950;36068;15/01/2017
HN;1000951;33624;15/01/2017
PO;1000952;36070;15/01/2017
SL;1000953;33626;15/01/2017
SL;1000954;33628;15/01/2017
SL;1000955;33630;15/01/2017
SL;1000956;33632;15/01/2017
SL;1000957;33634;15/01/2017
