point_id;point_code;short_name;long_name;stop_id;point_role;gps_longitude;gps_latitude;valid_from;valid_until
1051403;BRGANO01;07251;Baltinglass Road Blessington;9910;ST;-6.537068;53.167689;19/12/2010;01/01/2036
1051517;VLYMNT02;07268;Ballyknockan At Village;10060;ST;-6.498872;53.106161;19/12/2010;01/01/2036
1051474;FTRBED02;07278;Ballymore Eustace Junction Plunkett Road;10000;ST;-6.610552;53.132463;19/12/2010;01/01/2036
1064614;DBRK2:2-2;DBRK2:2-2;DBRK2:2-2;;DT;-6.232604;53.318471;24/01/2011;01/01/2036
1257985;CHRLEM01;02903;Charlemont Street Charlemont Flats;10110;ST;-6.262492;53.33197;01/01/1970;01/01/2036
1258047;STEPBN01;03473;Kilgobbin Heights Inver House;7770;ST;-6.214398;53.254113;01/01/1970;01/01/2036
1211653;CHERWD01;05047;Wyattville Road Druid Valley;1670;ST;-6.140155;53.245812;24/01/2011;01/01/2036
1258054;CHRLEM02;02812;Charlemont Street Mercer Charlotte House;10110;ST;-6.262218;53.331926;01/01/1970;01/01/2036
1257960;RATBAL02;05144;Ratoath Road Marian School;10440;ST;-6.306181;53.372702;01/01/1970;01/01/2036
1211633;SGNABR03;03554;Shanganagh Road Shanganagh Bridge;7410;ST;-6.121708;53.242896;24/01/2011;01/01/2036
1211611;DBRK2:2;DBRK2:2;DBRK2:2;;DT;-6.2319395;53.3178805;24/01/2011;01/01/2036
1064607;DBRK2:2-1;DBRK2:2-1;DBRK2:2-1;;DT;-6.231275;53.31729;24/01/2011;01/01/2036
1211590;KILLNE02;02017;Stillorgan Road Foxrock Church;4200;ST;-6.175003;53.27419;24/01/2011;01/01/2036
1311861;AMGHRD05;02466;Armagh Road Scoil Colm;170;ST;-6.306431;53.320653;01/01/1970;01/01/2036
1311948;FRRYLE02;03510;Furry Lane Ballybrack Road;10830;ST;-6.225527;53.221011;01/01/1970;01/01/2036
1005669;WTLORD03;00781;Waterloo Road St. Martins House;8650;ST;-6.243723;53.332637;30/01/2011;01/01/2036
1311960;FRACTI03;03083;Frascati Road Frascati Shop Centre;10200;ST;-6.181002;53.301232;01/01/1970;01/01/2036
1311961;CYFTA01;03196;Newtown Park Rushmore House;4521;ST;-6.177212;53.287383;01/01/1970;01/01/2036
1311962;ROEBRD02;00863;Roebuck Road Carmelites Monastery;7090;ST;-6.231916;53.302668;01/01/1970;01/01/2036
1211612;BKRSCR02;04565;Kill Avenue Rosepark;260;ST;-6.155142;53.281337;30/01/2011;01/01/2036
1312062;CTCRA02;03166;Carysfort Avenue Prince Edward Terrace;4523;ST;-6.180505;53.297065;01/01/1970;01/01/2036
1312070;CTPSA02;03168;Carysfort Avenue Proby Square;4522;ST;-6.180057;53.29224;01/01/1970;01/01/2036
1311925;STMYRD02;02317;St. Mary's Road Crumlin Bowling Club;7650;ST;-6.318852;53.323408;01/01/1970;01/01/2036
1329926;SHKLCH02;03138;Bray Road St. Anne's Church;7440;ST;-6.124723;53.234349;01/01/1970;01/01/2036
1329928;LOGHHP01;03143;Bray Road Loughlinstown Hospital;4770;ST;-6.130766;53.242651;01/01/1970;01/01/2036
1329921;CKINLN02;04125;Bray Road Shanganagh Castle;2240;ST;-6.123593;53.223421;01/01/1970;01/01/2036
1329943;BRAYRD02;03148;Bray Road Shrewsbury House;1180;ST;-6.146562;53.258749;01/01/1970;01/01/2036
1339088;GYSTST04;04227;Greystones Rugby Club;3470;ST;-6.066368;53.135321;01/01/1970;01/01/2036
1329961;HBRTRD02;02963;Herbert Road Killarney Heights;3620;ST;-6.127136;53.194528;01/01/1970;01/01/2036
1329962;CKINCH02;04127;Bray Road Crinken Church;2230;ST;-6.119863;53.218751;01/01/1970;01/01/2036
1339080;KBRDLE02;02964;Kilbride Lane Herbert Park;4070;ST;-6.129012;53.191551;01/01/1970;01/01/2036
1064612;BRAY:2-1;BRAY:2-1;BRAY:2-1;;DT;-6.098885;53.203315;20/02/2011;01/01/2036
1329956;CKINLN01;04205;Bray Road Crinken Lodge;2240;ST;-6.12487;53.224532;01/01/1970;01/01/2036
