opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
13/01/2017;484981385210873834;37123;10:18:43;ST02
13/01/2017;484981385211047243;39383;10:56:23;ST02
13/01/2017;484981385211884513;62765;17:26:05;AC00
13/01/2017;484981385210817376;34078;09:27:58;ST02
13/01/2017;484981385211661718;57558;15:59:18;ST02
13/01/2017;484981385211287495;51444;14:17:24;ST02
13/01/2017;484981385211048236;47004;13:03:24;ST02
13/01/2017;484981385211287061;48091;13:21:31;ST02
13/01/2017;484981385211737313;60064;16:41:04;ST02
13/01/2017;484981385211287402;50909;14:08:29;ST02
13/01/2017;484981385211047665;40776;11:19:36;ST02
13/01/2017;484981385210873278;35103;09:45:03;ST02
13/01/2017;484981385210873452;35519;09:51:59;ST02
13/01/2017;484981385211561288;57489;15:58:09;ST02
13/01/2017;484981385211560646;56380;15:39:40;ST02
13/01/2017;484981385210622694;28917;08:01:57;ST02
13/01/2017;484981385211047426;39582;10:59:42;ST02
13/01/2017;484981385211483192;54716;15:11:56;ST02
13/01/2017;484981385210874131;39175;10:52:55;ST02
13/01/2017;484981385211287862;53367;14:49:27;AC00
13/01/2017;484981385211287295;50062;13:54:22;ST02
13/01/2017;484981385211561142;57302;15:55:02;ST02
13/01/2017;484981385211561116;57256;15:54:16;ST02
13/01/2017;484981385211662656;58974;16:22:54;ST02
13/01/2017;484981385210874079;38633;10:43:53;ST02
13/01/2017;484981385210873633;36197;10:03:17;AC00
13/01/2017;484981385211047877;43947;12:12:27;ST02
13/01/2017;484981385211047308;39532;10:58:52;ST02
13/01/2017;484981385211560519;55741;15:29:01;ST02
13/01/2017;484981385211287468;51416;14:16:56;ST02
13/01/2017;484981385211662684;59001;16:23:21;ST02
13/01/2017;484981385210347621;22345;06:12:25;ST02
13/01/2017;484981385211047612;40649;11:17:29;AC00
13/01/2017;484981385210873423;35509;09:51:49;ST02
13/01/2017;484981385211883961;61857;17:10:57;ST02
13/01/2017;484981385210422525;26057;07:14:17;ST02
13/01/2017;484981385211968584;64860;18:01:00;ST02
13/01/2017;484981385212050697;67274;18:41:14;ST02
13/01/2017;484981385210873803;37069;10:17:49;ST02
13/01/2017;484981385211047321;39539;10:58:59;AC00
13/01/2017;484981385211662523;58789;16:19:49;AC00
13/01/2017;484981385211286985;47508;13:11:48;ST02
13/01/2017;484981385210873765;36833;10:13:53;ST02
13/01/2017;484981385211482496;53487;14:51:27;ST02
13/01/2017;484981385211048206;46974;13:02:54;ST02
13/01/2017;484981385211287218;49428;13:43:48;ST02
13/01/2017;484981385211737386;60086;16:41:26;ST02
13/01/2017;484981385211737060;59773;16:36:13;AC00
13/01/2017;484981385210873733;36743;10:12:23;ST02
13/01/2017;484981385210422070;25509;07:05:09;ST03
13/01/2017;484981385212049795;65542;18:12:22;ST03
13/01/2017;484981385212145024;76271;21:11:11;ST03
13/01/2017;484981385210772539;33259;09:14:19;ST03
13/01/2017;484981385210536882;27555;07:39:15;ST03
13/01/2017;484981385212144988;76059;21:07:39;ST03
13/01/2017;484981385210817510;34202;09:30:02;ST03
13/01/2017;484981385210817164;33859;09:24:19;ST03
13/01/2017;484981385211736994;59674;16:34:34;ST03
13/01/2017;484981385211884349;62547;17:22:27;ST03
13/01/2017;484981385211810010;61563;17:06:03;ST03
13/01/2017;484981385210685843;30682;08:31:22;ST03
13/01/2017;484981385211662142;58103;16:08:23;OD02
13/01/2017;484981385211884136;62044;17:14:04;OD02
13/01/2017;484981385211968499;64780;17:59:40;OD02
13/01/2017;484981385211968288;64466;17:54:26;OD02
13/01/2017;484981385211483349;54865;15:14:25;OD02
13/01/2017;484981385211287431;51053;14:10:53;OD02
13/01/2017;484981385210685937;31106;08:38:26;OD02
13/01/2017;484981385210816873;33614;09:20:14;OD02
13/01/2017;484981385211560432;55523;15:25:23;OD02
13/01/2017;484981385210771797;32599;09:03:19;OD02
13/01/2017;484981385211810096;61721;17:08:41;OD02
13/01/2017;484981385211661688;57512;15:58:32;OD02
13/01/2017;484981385211884376;62573;17:22:53;OD02
13/01/2017;484981385211809856;61396;17:03:16;OD02
13/01/2017;484981385210817067;33790;09:23:10;OD02
13/01/2017;484981385211047456;39693;11:01:33;OD02
13/01/2017;484981385210346970;20843;05:47:23;OD02
13/01/2017;484981385211662389;58588;16:16:28;OD02
13/01/2017;484981385210771948;32669;09:04:29;OD02
13/01/2017;484981385211482669;53818;14:56:58;OD02
13/01/2017;484981385211047401;39571;10:59:31;OD02
13/01/2017;484981385210266709;20304;05:38:24;OD02
13/01/2017;484981385210686385;31920;08:52:00;OD02
13/01/2017;484981385210536986;27626;07:40:26;OD02
13/01/2017;484981385210686534;32208;08:56:48;OD02
13/01/2017;484981385210266089;18290;05:04:50;OD02
13/01/2017;484981385210422019;25460;07:04:20;OD02
13/01/2017;484981385211967983;63803;17:43:23;OD02
13/01/2017;484981385210686669;32498;09:01:38;OD02
13/01/2017;484981385210536530;27011;07:30:11;OD02
13/01/2017;484981385211483467;55104;15:18:24;OD02
13/01/2017;484981385212050656;67183;18:39:43;OD02
13/01/2017;484981385212050547;66955;18:35:55;OD02
13/01/2017;484981385211884106;61983;17:13:03;OD02
13/01/2017;484981385210772218;33028;09:10:28;OD02
13/01/2017;484981385210266619;20116;05:35:16;OD02
13/01/2017;484981385210422482;26022;07:13:42;OD02
13/01/2017;484981385211884077;61950;17:12:30;OD02
13/01/2017;484981385210346944;20817;05:46:57;OD02
13/01/2017;484981385211287836;53324;14:48:44;OD02
13/01/2017;484981385210772625;33377;09:16:17;OD02
13/01/2017;484981385210622975;29182;08:06:22;OD02
13/01/2017;484981385210772000;32720;09:05:20;OD02
13/01/2017;484981385211287809;53259;14:47:39;OD02
13/01/2017;484981385210266789;20452;05:40:52;OD02
13/01/2017;484981385210536316;26529;07:22:09;OD02
13/01/2017;484981385210873190;34903;09:41:43;OD02
13/01/2017;484981385210686414;31936;08:52:16;OD02
13/01/2017;484981385211482554;53673;14:54:33;OD02
13/01/2017;484981385210422282;25866;07:11:06;OD02
13/01/2017;484981385210873596;35890;09:58:10;OD02
13/01/2017;484981385210817592;34309;09:31:49;OD02
13/01/2017;484981385211736707;59291;16:28:11;OD02
