vehicle_id;vehicle_code;short_name;valid_from;valid_until
1000871;AV359;33359;01/01/1970;01/01/2036
1000872;AV361;33361;01/01/1970;01/01/2036
1000874;AV365;33365;01/01/1970;01/01/2036
1000875;AV367;33367;01/01/1970;01/01/2036
1000877;DT1;35001;01/01/1970;01/01/2036
1000878;AV371;33371;01/01/1970;01/01/2036
1000879;DT3;35003;01/01/1970;01/01/2036
1000881;DT5;35005;01/01/1970;01/01/2036
1000882;AV375;33375;01/01/1970;01/01/2036
1000884;AV377;33377;01/01/1970;01/01/2036
1000885;DT9;35009;01/01/1970;01/01/2036
1000886;AV379;33379;01/01/1970;01/01/2036
1000888;AV383;33383;01/01/1970;01/01/2036
1000889;AV385;33385;01/01/1970;01/01/2036
1000891;AV389;33389;01/01/1970;01/01/2036
1000892;AV391;33391;01/01/1970;01/01/2036
1000893;AV393;33393;01/01/1970;01/01/2036
1000895;AV397;33397;01/01/1970;01/01/2036
1000896;AV399;33399;01/01/1970;01/01/2036
1000897;AV401;33401;01/01/1970;01/01/2036
1000899;AV405;33405;01/01/1970;01/01/2036
1000900;AX584;33584;01/01/1970;01/01/2036
1000901;VT30;36030;01/01/1970;01/01/2036
1000903;AX586;33586;01/01/1970;01/01/2036
1000904;VT32;36032;01/01/1970;01/01/2036
1000906;AX588;33588;01/01/1970;01/01/2036
1000907;VT34;36034;01/01/1970;01/01/2036
1000909;AX590;33590;01/01/1970;01/01/2036
1000910;VT36;36036;01/01/1970;01/01/2036
1000912;AX592;33592;01/01/1970;01/01/2036
1000913;VT38;36038;01/01/1970;01/01/2036
1000915;AX594;33594;01/01/1970;01/01/2036
1000916;VT40;36040;01/01/1970;01/01/2036
1000918;AX596;33596;01/01/1970;01/01/2036
1000919;VT42;36042;01/01/1970;01/01/2036
1000921;AX598;33598;01/01/1970;01/01/2036
1000922;VT44;36044;01/01/1970;01/01/2036
1000924;AX600;33600;01/01/1970;01/01/2036
1000925;VT46;36046;01/01/1970;01/01/2036
1000199;AX500;33500;01/01/1970;01/01/2036
1001059;AV116;33116;14/07/2010;01/01/2036
1001061;AV118;33118;14/07/2010;01/01/2036
1000703;AV117;33117;14/07/2010;01/01/2036
1930279;GT4;43004;01/01/1970;01/01/2036
1930281;GT3;43003;01/01/1970;01/01/2036
1930282;GT5;43005;01/01/1970;01/01/2036
1930278;GT2;43002;01/01/1970;01/01/2036
1930280;GT1;43001;01/01/1970;01/01/2036
1932298;GT8;43008;01/01/1970;01/01/2036
1932299;GT10;43010;01/01/1970;01/01/2036
1932300;GT12;43012;01/01/1970;01/01/2036
1932301;GT14;43014;01/01/1970;01/01/2036
1932302;GT16;43016;01/01/1970;01/01/2036
1932303;GT18;43018;01/01/1970;01/01/2036
1932305;GT22;43022;01/01/1970;01/01/2036
1932307;GT26;43026;01/01/1970;01/01/2036
1932308;GT28;43028;01/01/1970;01/01/2036
1932309;GT30;43030;01/01/1970;01/01/2036
1932310;GT32;43032;01/01/1970;01/01/2036
1932312;GT36;43036;01/01/1970;01/01/2036
1932314;GT40;43040;01/01/1970;01/01/2036
1932315;GT42;43042;01/01/1970;01/01/2036
1932316;GT44;43044;01/01/1970;01/01/2036
1932317;GT46;43046;01/01/1970;01/01/2036
1932318;GT48;43048;01/01/1970;01/01/2036
1932319;GT50;43050;01/01/1970;01/01/2036
1932321;GT54;43054;01/01/1970;01/01/2036
1932323;GT58;43058;01/01/1970;01/01/2036
1932324;GT60;43060;01/01/1970;01/01/2036
1932325;GT62;43062;01/01/1970;01/01/2036
1932326;GT64;43064;01/01/1970;01/01/2036
1932328;GT68;43068;01/01/1970;01/01/2036
1932330;GT72;43072;01/01/1970;01/01/2036
1000927;AX602;33602;01/01/1970;01/01/2036
1000928;VT48;36048;01/01/1970;01/01/2036
1000930;AX604;33604;01/01/1970;01/01/2036
1000931;VT50;36050;01/01/1970;01/01/2036
1000933;AX606;33606;01/01/1970;01/01/2036
1000934;VT52;36052;01/01/1970;01/01/2036
1000935;AX608;33608;01/01/1970;01/01/2036
1000936;VT54;36054;01/01/1970;01/01/2036
1000937;AX610;33610;01/01/1970;01/01/2036
1000938;VT56;36056;01/01/1970;01/01/2036
1000939;AX612;33612;01/01/1970;01/01/2036
1000940;VT58;36058;01/01/1970;01/01/2036
1000941;AX614;33614;01/01/1970;01/01/2036
1000942;VT60;36060;01/01/1970;01/01/2036
1000943;AX616;33616;01/01/1970;01/01/2036
1000944;VT62;36062;01/01/1970;01/01/2036
1000945;AX618;33618;01/01/1970;01/01/2036
1000946;VT64;36064;01/01/1970;01/01/2036
1000947;AX620;33620;01/01/1970;01/01/2036
1000948;VT66;36066;01/01/1970;01/01/2036
1000949;AX622;33622;01/01/1970;01/01/2036
1000950;VT68;36068;01/01/1970;01/01/2036
1000951;AX624;33624;01/01/1970;01/01/2036
1000952;VT70;36070;01/01/1970;01/01/2036
1000953;AX626;33626;01/01/1970;01/01/2036
1000954;AX628;33628;01/01/1970;01/01/2036
1000955;AX630;33630;01/01/1970;01/01/2036
1000956;AX632;33632;01/01/1970;01/01/2036
1000957;AX634;33634;01/01/1970;01/01/2036
1000958;AX636;33636;01/01/1970;01/01/2036
1000959;AX638;33638;01/01/1970;01/01/2036
1000960;AX640;33640;01/01/1970;01/01/2036
1000961;AX642;33642;01/01/1970;01/01/2036
1000962;AX644;33644;01/01/1970;01/01/2036
1000963;AX646;33646;01/01/1970;01/01/2036
1000964;AX648;33648;01/01/1970;01/01/2036
1000988;WV52;28052;01/01/1970;01/01/2036
1001006;AV24;33024;01/01/1970;01/01/2036
1001007;AV26;33026;01/01/1970;01/01/2036
1001017;AV46;33046;01/01/1970;01/01/2036
1001018;AV48;33048;01/01/1970;01/01/2036
1001027;AV64;33064;01/01/1970;01/01/2036
1001028;AV66;33066;01/01/1970;01/01/2036
1001042;AV94;33094;01/01/1970;01/01/2036
1001044;AV96;33096;01/01/1970;01/01/2036
1001056;EV4;38004;01/01/1970;01/01/2036
1001058;EV6;38006;01/01/1970;01/01/2036
1001060;EV8;38008;01/01/1970;01/01/2036
1001062;RH154;24154;01/01/1970;01/01/2036
1001063;EV10;38010;01/01/1970;01/01/2036
1001066;EV12;38012;01/01/1970;01/01/2036
1001070;EV16;38016;01/01/1970;01/01/2036
1001073;AV128;33128;01/01/1970;01/01/2036
1001074;EV20;38020;01/01/1970;01/01/2036
1001076;EV22;38022;01/01/1970;01/01/2036
1001078;EV24;38024;01/01/1970;01/01/2036
1001080;EV26;38026;01/01/1970;01/01/2036
1001084;EV30;38030;01/01/1970;01/01/2036
1001087;EV32;38032;01/01/1970;01/01/2036
1001091;AV144;33144;01/01/1970;01/01/2036
1001094;AV146;33146;01/01/1970;01/01/2036
1001095;EV38;38038;01/01/1970;01/01/2036
1000207;VG26;40026;01/01/1970;01/01/2036
1000210;VG28;40028;01/01/1970;01/01/2036
1000214;AX510;33510;01/01/1970;01/01/2036
1000217;AX512;33512;01/01/1970;01/01/2036
1000221;AX516;33516;01/01/1970;01/01/2036
1000225;AX520;33520;01/01/1970;01/01/2036
1000232;VG46;40046;01/01/1970;01/01/2036
1000235;VG48;40048;01/01/1970;01/01/2036
1000239;AX530;33530;01/01/1970;01/01/2036
1000253;AX544;33544;01/01/1970;01/01/2036
1000257;AX548;33548;01/01/1970;01/01/2036
1000268;AX558;33558;01/01/1970;01/01/2036
1000271;AX560;33560;01/01/1970;01/01/2036
